Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Transformer.T1000,    1.09033,   -28.74,    1.09033,  -148.74,    1.09033,    91.26,          0,     0.00, 5.87333E-012,    47.35,    64.5383,   126.28,     64.538,     6.28,    64.5375,  -113.72, 0.00140633,   -96.05, 2.44889E-011,    68.20
Transformer.T10001,    1.09056,   -28.74,    1.09056,  -148.74,    1.09055,    91.26,          0,     0.00, 5.97676E-012,    47.43,    64.5534,   126.28,    64.5532,     6.28,    64.5526,  -113.72, 0.00142927,   -96.06, 2.68542E-011,    68.65
Transformer.T10002,    1.09066,   -28.74,    1.09066,  -148.74,    1.09066,    91.26,          0,     0.00, 6.00208E-012,    47.47,    64.5605,   126.28,    64.5602,     6.28,    64.5597,  -113.72, 0.00143995,   -96.06, 2.68195E-011,    71.72
Transformer.T10003,   0.578108,   -32.99,   0.578109,  -152.99,   0.578107,    87.01,          0,     0.00, 6.02958E-012,    47.44,    32.1567,   126.55,    32.1566,     6.55,    32.1563,  -113.45, 0.000716771,   -95.52, 1.3765E-011,    67.67
Transformer.T10004,   0.578108,   -32.99,   0.578109,  -152.99,   0.578107,    87.01,          0,     0.00, 6.02958E-012,    47.44,    32.1567,   126.55,    32.1566,     6.55,    32.1563,  -113.45, 0.000716771,   -95.52, 1.3765E-011,    67.67
Transformer.T10005,    1.09072,   -28.74,    1.09072,  -148.74,    1.09072,    91.26,          0,     0.00, 6.03743E-012,    47.50,    64.5647,   126.28,    64.5644,     6.28,    64.5638,  -113.72, 0.00144627,   -96.06, 2.69656E-011,    65.60
Transformer.T10006,    1.09073,   -28.74,    1.09073,  -148.74,    1.09073,    91.26,          0,     0.00, 6.04181E-012,    47.36,    64.5651,   126.28,    64.5648,     6.28,    64.5643,  -113.72, 0.00144695,   -96.06, 2.56761E-011,    67.07
Transformer.T10009,    1.09072,   -28.74,    1.09072,  -148.74,    1.09072,    91.26,          0,     0.00, 6.03962E-012,    47.43,    64.5642,   126.28,     64.564,     6.28,    64.5634,  -113.72, 0.00144562,   -96.06, 2.63459E-011,    64.98
Transformer.T100091,     0.6798,   -31.59,   0.679801,  -151.59,     0.6798,    88.41,          0,     0.00, 6.03962E-012,    47.43,    38.6158,   126.50,    38.6156,     6.50,    38.6153,  -113.50, 0.000862097,   -95.62, 1.43173E-011,    69.55
Transformer.T1000912,   0.679803,   -31.59,   0.679804,  -151.59,   0.679803,    88.41,          0,     0.00, 6.05489E-012,    47.47,    38.6159,   126.50,    38.6158,     6.50,    38.6155,  -113.50, 0.000862382,   -95.61, 1.63219E-011,    71.31
Line.LINHA200,    104.352,   -32.20,     104.35,  -152.20,     104.35,    87.80,          0,     0.00, 0.00538369,   -30.73,    104.354,   147.80,    104.352,    27.80,    104.352,   -92.20,          0,     0.00, 0.00533429,   149.27
Line.LINHA201,    104.354,   -32.20,    104.352,  -152.20,    104.352,    87.80,          0,     0.00, 0.00533429,   -30.73,    104.354,   147.80,    104.352,    27.80,    104.352,   -92.21,          0,     0.00, 0.00531948,   149.27
Line.LINHA202,    104.354,   -32.20,    104.352,  -152.20,    104.352,    87.79,          0,     0.00, 0.00531948,   -30.73,    104.355,   147.80,    104.352,    27.80,    104.353,   -92.21,          0,     0.00, 0.00530467,   149.27
Line.LINHA203,    104.355,   -32.20,    104.352,  -152.20,    104.353,    87.79,          0,     0.00, 0.00530467,   -30.73,    104.355,   147.80,    104.352,    27.80,    104.353,   -92.21,          0,     0.00,  0.0053027,   149.27
Line.LINHA204,    104.355,   -32.20,    104.352,  -152.20,    104.353,    87.79,          0,     0.00,  0.0053027,   -30.73,    104.355,   147.79,    104.353,    27.80,    104.353,   -92.21,          0,     0.00,  0.0052879,   149.27
Line.LINHA205,    104.355,   -32.21,    104.353,  -152.20,    104.353,    87.79,          0,     0.00,  0.0052879,   -30.73,    104.356,   147.79,    104.353,    27.80,    104.354,   -92.21,          0,     0.00,  0.0052731,   149.27
Line.LINHA206,    104.356,   -32.21,    104.353,  -152.20,    104.354,    87.79,          0,     0.00,  0.0052731,   -30.73,    104.356,   147.79,    104.354,    27.80,    104.354,   -92.21,          0,     0.00, 0.00525831,   149.27
Line.LINHA207,    104.356,   -32.21,    104.354,  -152.20,    104.354,    87.79,          0,     0.00, 0.00525831,   -30.73,    104.357,   147.79,    104.354,    27.79,    104.354,   -92.21,          0,     0.00, 0.00524353,   149.27
Line.LINHA208,    104.357,   -32.21,    104.354,  -152.21,    104.354,    87.79,          0,     0.00, 0.00524353,   -30.73,    104.357,   147.79,    104.355,    27.79,    104.355,   -92.21,          0,     0.00, 0.00522875,   149.27
Line.LINHA209,    104.357,   -32.21,    104.355,  -152.21,    104.355,    87.79,          0,     0.00, 0.00522875,   -30.73,    104.357,   147.79,    104.355,    27.79,    104.355,   -92.21,          0,     0.00, 0.00521397,   149.27
Line.LINHA210,    104.357,   -32.21,    104.355,  -152.21,    104.355,    87.79,          0,     0.00, 0.00521397,   -30.73,    104.358,   147.79,    104.356,    27.79,    104.356,   -92.21,          0,     0.00,  0.0051992,   149.27
Line.LINHA211,    104.358,   -32.21,    104.356,  -152.21,    104.356,    87.79,          0,     0.00,  0.0051992,   -30.73,    104.358,   147.79,    104.356,    27.79,    104.356,   -92.21,          0,     0.00, 0.00518444,   149.27
Line.LINHA212,    103.711,   -32.23,    103.709,  -152.23,    103.709,    87.77,          0,     0.00, 0.00518444,   -30.73,    103.712,   147.77,    103.709,    27.77,     103.71,   -92.23,          0,     0.00, 0.00516968,   149.27
