Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Transformer.T55,    2.68317,   -26.70,    2.68317,  -146.70,    2.68317,    93.30,          0,     0.00, 9.04133E-012,    35.73,    164.687,   125.30,    164.686,     5.30,    164.684,  -114.70,  0.0056046,  -101.21, 1.01078E-010,    62.97
Transformer.T56,    2.68453,   -26.70,    2.68453,  -146.70,    2.68453,    93.30,          0,     0.00, 9.24661E-012,    35.76,    164.774,   125.29,    164.773,     5.29,    164.771,  -114.71, 0.00573578,  -101.22, 1.04133E-010,    62.71
Transformer.T57,    2.68967,   -26.72,    2.68967,  -146.72,    2.68967,    93.28,          0,     0.00, 1.00011E-011,    35.63,    165.105,   125.27,    165.104,     5.27,    165.101,  -114.73, 0.00623225,  -101.26, 1.1309E-010,    62.46
Transformer.T58,    2.69184,   -26.72,    2.69184,  -146.72,    2.69184,    93.28,          0,     0.00, 1.03261E-011,    35.58,    165.244,   125.26,    165.243,     5.26,     165.24,  -114.74, 0.00644164,  -101.28, 1.17149E-010,    62.74
Transformer.T59,    2.69321,   -26.73,    2.69321,  -146.73,    2.69321,    93.27,          0,     0.00, 1.05326E-011,    35.49,    165.331,   125.26,     165.33,     5.26,    165.328,  -114.74, 0.00657421,  -101.29, 1.19594E-010,    62.61
Transformer.T60,    2.69444,   -26.73,    2.69444,  -146.73,    2.69444,    93.27,          0,     0.00, 1.07085E-011,    35.56,    165.411,   125.25,     165.41,     5.25,    165.407,  -114.75, 0.00669381,  -101.30, 1.22129E-010,    62.86
Transformer.T61,    2.69575,   -26.73,    2.69575,  -146.73,    2.69575,    93.27,          0,     0.00, 1.09031E-011,    35.45,    165.495,   125.24,    165.494,     5.25,    165.491,  -114.75, 0.00682085,  -101.31, 1.23751E-010,    63.25
Transformer.T62,    2.69629,   -26.73,    2.69629,  -146.73,    2.69629,    93.27,          0,     0.00, 1.09948E-011,    35.61,     165.53,   125.24,    165.529,     5.24,    165.526,  -114.76,  0.0068725,  -101.31, 1.23956E-010,    63.06
Transformer.T82,    1.61859,   -26.74,    1.61863,  -146.74,    1.61862,    93.26,          0,     0.00, 7.01369E-012,    35.61,    99.3728,   125.23,    99.3735,     5.23,    99.3754,  -114.77, 0.000228105,    78.66, 4.16317E-012,  -124.99
Transformer.T63,    1.61848,   -26.74,    1.61852,  -146.74,    1.61851,    93.26,          0,     0.00, 7.04239E-012,    35.64,     99.366,   125.23,    99.3667,     5.23,    99.3687,  -114.77, 0.000228586,    78.66, 4.88192E-012,  -117.76
Transformer.T64,    1.61852,   -26.74,    1.61856,  -146.74,    1.61855,    93.26,          0,     0.00, 7.01926E-012,    35.52,    99.3684,   125.23,    99.3691,     5.23,    99.3711,  -114.77, 0.000228421,    78.66, 4.78026E-012,  -115.35
Transformer.T65,    1.61844,   -26.74,    1.61848,  -146.74,    1.61847,    93.26,          0,     0.00, 7.04094E-012,    35.52,    99.3636,   125.23,    99.3643,     5.23,    99.3662,  -114.77, 0.000228767,    78.66, 4.32907E-012,  -119.93
Transformer.T66,    1.61835,   -26.74,    1.61839,  -146.74,    1.61838,    93.26,          0,     0.00, 7.05271E-012,    35.51,    99.3584,   125.23,    99.3591,     5.23,     99.361,  -114.77, 0.000229138,    78.66, 3.71184E-012,  -117.35
Transformer.T67,     1.6183,   -26.74,    1.61835,  -146.74,    1.61834,    93.26,          0,     0.00, 7.05148E-012,    35.44,    99.3554,   125.23,    99.3562,     5.23,    99.3581,  -114.77, 0.000229348,    78.66, 4.62916E-012,  -114.68
Transformer.T68,    1.61868,   -26.74,    1.61873,  -146.74,    1.61871,    93.26,          0,     0.00, 7.00522E-012,    35.46,    99.3788,   125.23,    99.3795,     5.23,    99.3814,  -114.77, 0.000227679,    78.66, 4.4148E-012,  -124.51
Transformer.T69,    2.69776,   -26.75,    2.69783,  -146.75,    2.69781,    93.25,          0,     0.00, 1.16935E-011,    35.43,    165.628,   125.22,    165.629,     5.23,    165.632,  -114.78, 0.000380458,    78.65, 7.88302E-012,  -123.23
Transformer.T70,    2.69698,   -26.75,    2.69705,  -146.75,    2.69703,    93.25,          0,     0.00, 1.18137E-011,    35.42,     165.58,   125.22,    165.581,     5.22,    165.584,  -114.78, 0.00038389,    78.65, 7.69384E-012,  -124.16
Transformer.T71,    2.69687,   -26.75,    2.69694,  -146.75,    2.69692,    93.25,          0,     0.00, 1.18199E-011,    35.46,    165.573,   125.22,    165.574,     5.22,    165.577,  -114.78, 0.000384376,    78.64, 6.97485E-012,  -109.03
Transformer.T72,    2.69645,   -26.75,    2.69652,  -146.75,     2.6965,    93.25,          0,     0.00, 1.1881E-011,    35.46,    165.547,   125.22,    165.549,     5.22,    165.552,  -114.78, 0.000386207,    78.64, 6.62902E-012,  -112.17
Transformer.T73,    1.61752,   -26.74,    1.61757,  -146.74,    1.61756,    93.25,          0,     0.00, 7.1597E-012,    35.39,    99.3075,   125.23,    99.3082,     5.23,    99.3102,  -114.77, 0.000232786,    78.65, 3.82164E-012,  -112.75
Transformer.T74,    2.69601,   -26.75,    2.69608,  -146.75,    2.69606,    93.25,          0,     0.00, 1.19438E-011,    35.41,     165.52,   125.22,    165.521,     5.22,    165.525,  -114.78, 0.000388157,    78.64, 6.62902E-012,  -120.96
Transformer.T75,    1.61757,   -26.74,    1.61761,  -146.74,     1.6176,    93.26,          0,     0.00, 7.16718E-012,    35.27,    99.3101,   125.23,    99.3108,     5.23,    99.3128,  -114.77, 0.000232597,    78.65, 3.77913E-012,  -111.16
Transformer.T76,    2.69599,   -26.75,    2.69606,  -146.75,    2.69604,    93.25,          0,     0.00, 1.19476E-011,    35.38,    165.519,   125.22,     165.52,     5.22,    165.523,  -114.78, 0.000388248,    78.64, 8.13477E-012,  -116.57
Transformer.T77,    1.61749,   -26.74,    1.61753,  -146.74,    1.61752,    93.25,          0,     0.00, 7.16279E-012,    35.42,    99.3052,   125.23,    99.3059,     5.23,    99.3079,  -114.77, 0.000232954,    78.65, 4.27348E-012,  -118.61
Transformer.T78,    4.49104,   -26.77,    4.49115,  -146.76,    4.49112,    93.23,          0,     0.00, 2.02749E-011,    35.33,    275.723,   125.21,    275.725,     5.21,    275.731,  -114.79, 0.000658461,    78.63, 1.38306E-011,  -117.41
Transformer.T79,    2.69448,   -26.76,    2.69456,  -146.76,    2.69454,    93.24,          0,     0.00, 1.21446E-011,    35.35,    165.426,   125.21,    165.427,     5.22,    165.431,  -114.78, 0.000394903,    78.63, 8.38821E-012,  -122.83
