Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"2294B", 0.22, 1,    124.521,  -30.5,   0.98035, 2,    124.521, -150.5,   0.98035, 3,    124.522,   89.5,   0.98036
"2296B", 0.22, 1,    124.521,  -30.5,   0.98035, 2,    124.521, -150.5,   0.98035, 3,    124.522,   89.5,   0.98036
"2304B", 0.22, 1,    124.494,  -30.5,   0.98014, 2,    124.495, -150.5,   0.98014, 3,    124.495,   89.5,   0.98015
"2306B", 0.22, 1,    124.495,  -30.5,   0.98014, 2,    124.496, -150.5,   0.98015, 3,    124.496,   89.5,   0.98015
"2314B", 0.22, 1,    124.489,  -30.5,    0.9801, 2,     124.49, -150.5,    0.9801, 3,     124.49,   89.5,   0.98011
"2318B", 0.22, 1,    124.486,  -30.5,   0.98008, 2,    124.487, -150.5,   0.98008, 3,    124.487,   89.5,   0.98008
"2323B", 0.22, 1,    124.497,  -30.5,   0.98016, 2,    124.497, -150.5,   0.98016, 3,    124.498,   89.5,   0.98017
"2327B", 0.22, 1,    124.468,  -30.5,   0.97993, 2,    124.468, -150.5,   0.97993, 3,    124.469,   89.5,   0.97994
"2332B", 0.22, 1,    124.454,  -30.5,   0.97982, 2,    124.455, -150.5,   0.97983, 3,    124.456,   89.5,   0.97983
"2337B", 0.22, 1,    124.929,  -30.3,   0.98356, 2,    124.929, -150.3,   0.98356, 3,     124.93,   89.7,   0.98357
"2342B", 0.22, 1,    124.446,  -30.5,   0.97976, 2,    124.447, -150.5,   0.97976, 3,    124.448,   89.5,   0.97977
"2347B", 0.22, 1,    124.446,  -30.5,   0.97975, 2,    124.446, -150.5,   0.97976, 3,    124.447,   89.5,   0.97976
"2352B", 13.8, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"2353B", 0.22, 1,    124.447,  -30.5,   0.97977, 2,    124.448, -150.5,   0.97977, 3,    124.448,   89.5,   0.97978
"2354B", 0.22, 1,    124.832,  -30.3,    0.9828, 2,    124.832, -150.3,    0.9828, 3,    124.833,   89.7,   0.98281
"2360B", 0.22, 1,    124.831,  -30.3,   0.98279, 2,    124.832, -150.3,    0.9828, 3,    124.833,   89.7,    0.9828
"2012", 13.8, 1,     7957.2,    0.0,   0.99872, 2,    7957.21, -120.0,   0.99872, 3,     7957.2,  120.0,   0.99872
"2018", 13.8, 1,     7960.3,    0.1,   0.99911, 2,    7960.31, -119.9,   0.99911, 3,     7960.3,  120.1,    0.9991
