Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Transformer.T55,    1.08313,   -28.67,    1.08313,  -148.67,    1.08313,    91.33,          0,     0.00, 3.06943E-012,    54.80,    64.0532,   126.42,     64.053,     6.42,    64.0528,  -113.58, 0.000728576,   -89.03, 1.38996E-011,    74.83
Transformer.T56,    1.08332,   -28.67,    1.08332,  -148.67,    1.08332,    91.33,          0,     0.00, 3.1656E-012,    54.45,    64.0664,   126.42,    64.0662,     6.42,     64.066,  -113.58, 0.000748157,   -89.23, 1.3024E-011,    73.78
Transformer.T57,    1.08406,   -28.67,    1.08406,  -148.67,    1.08406,    91.33,          0,     0.00, 3.46255E-012,    54.35,    64.1162,   126.41,     64.116,     6.42,    64.1157,  -113.59, 0.000822039,   -89.92, 1.53288E-011,    69.15
Transformer.T58,    1.08437,   -28.67,    1.08437,  -148.67,    1.08437,    91.33,          0,     0.00, 3.6059E-012,    54.18,    64.1371,   126.41,    64.1369,     6.41,    64.1366,  -113.59, 0.000853123,   -90.18, 1.49584E-011,    70.46
Transformer.T59,    1.08457,   -28.67,    1.08457,  -148.67,    1.08457,    91.33,          0,     0.00, 3.69839E-012,    54.26,    64.1504,   126.41,    64.1501,     6.41,    64.1498,  -113.59, 0.000872802,   -90.33, 1.65531E-011,    74.05
Transformer.T60,    1.08474,   -28.67,    1.08475,  -148.67,    1.08474,    91.33,          0,     0.00, 3.77071E-012,    54.12,    64.1623,   126.41,    64.1621,     6.41,    64.1618,  -113.59, 0.000890589,   -90.46, 1.58331E-011,    77.56
Transformer.T61,    1.08493,   -28.67,    1.08493,  -148.67,    1.08493,    91.33,          0,     0.00, 3.84592E-012,    54.02,    64.1749,   126.41,    64.1747,     6.41,    64.1744,  -113.59, 0.000909435,   -90.60, 1.63788E-011,    76.35
Transformer.T62,    1.08501,   -28.67,    1.08501,  -148.67,    1.08501,    91.33,          0,     0.00, 3.86864E-012,    54.00,    64.1801,   126.41,    64.1799,     6.41,    64.1796,  -113.59, 0.000917138,   -90.65, 1.75917E-011,    75.78
Transformer.T82,   0.651373,   -28.66,   0.651374,  -148.66,   0.651373,    91.34,          0,     0.00, 2.5057E-012,    54.06,    38.5336,   126.41,    38.5334,     6.41,    38.5332,  -113.59, 0.000592161,   -91.08, 1.00727E-011,    73.61
Transformer.T63,   0.651388,   -28.66,   0.651388,  -148.66,   0.651387,    91.34,          0,     0.00, 2.51226E-012,    54.26,    38.5345,   126.41,    38.5344,     6.41,    38.5342,  -113.59, 0.000593572,   -91.09, 1.13687E-011,    73.74
Transformer.T64,   0.651383,   -28.66,   0.651383,  -148.66,   0.651383,    91.34,          0,     0.00, 2.51066E-012,    54.04,    38.5342,   126.41,    38.5341,     6.41,    38.5339,  -113.59, 0.000593106,   -91.09, 1.14689E-011,    72.10
Transformer.T65,   0.651393,   -28.66,   0.651393,  -148.66,   0.651393,    91.34,          0,     0.00, 2.51562E-012,    54.02,    38.5349,   126.41,    38.5348,     6.41,    38.5345,  -113.59, 0.000594129,   -91.10, 1.06454E-011,    70.02
Transformer.T66,   0.651404,   -28.66,   0.651404,  -148.66,   0.651404,    91.34,          0,     0.00, 2.52506E-012,    54.27,    38.5356,   126.41,    38.5355,     6.41,    38.5353,  -113.59, 0.000595227,   -91.11, 1.07913E-011,    73.47
Transformer.T67,    0.65141,   -28.66,    0.65141,  -148.66,    0.65141,    91.34,          0,     0.00, 2.5313E-012,    54.08,     38.536,   126.41,    38.5359,     6.41,    38.5357,  -113.59, 0.000595851,   -91.12, 1.11506E-011,    73.41
Transformer.T68,   0.651361,   -28.66,   0.651361,  -148.66,   0.651361,    91.34,          0,     0.00, 2.50271E-012,    53.81,    38.5327,   126.41,    38.5326,     6.41,    38.5324,  -113.59, 0.000590926,   -91.07, 1.06174E-011,    77.01
Transformer.T69,    1.08571,   -28.66,    1.08571,  -148.66,    1.08571,    91.34,          0,     0.00, 4.17974E-012,    53.85,    64.2275,   126.40,    64.2272,     6.40,    64.2269,  -113.60, 0.00098782,   -91.09, 1.73357E-011,    73.23
Transformer.T70,    1.08581,   -28.66,    1.08581,  -148.66,    1.08581,    91.34,          0,     0.00, 4.22833E-012,    54.09,    64.2342,   126.40,     64.234,     6.40,    64.2337,  -113.60, 0.000997942,   -91.15, 1.89103E-011,    71.78
Transformer.T71,    1.08583,   -28.66,    1.08583,  -148.66,    1.08583,    91.34,          0,     0.00, 4.22675E-012,    53.96,    64.2352,   126.40,     64.235,     6.40,    64.2346,  -113.60, 0.000999376,   -91.16, 1.80544E-011,    73.16
Transformer.T72,    1.08588,   -28.66,    1.08588,  -148.66,    1.08588,    91.34,          0,     0.00, 4.26055E-012,    53.58,    64.2388,   126.40,    64.2386,     6.40,    64.2383,  -113.60,  0.0010048,   -91.19, 1.89267E-011,    73.96
Transformer.T73,   0.651511,   -28.66,   0.651511,  -148.66,   0.651511,    91.34,          0,     0.00, 2.5539E-012,    53.86,    38.5428,   126.41,    38.5427,     6.41,    38.5425,  -113.59, 0.000606021,   -91.22, 1.0541E-011,    73.72
Transformer.T74,    1.08594,   -28.66,    1.08594,  -148.66,    1.08594,    91.34,          0,     0.00, 4.27926E-012,    53.88,    64.2427,   126.40,    64.2425,     6.40,    64.2421,  -113.60, 0.00101057,   -91.23, 1.85557E-011,    72.90
Transformer.T75,   0.651505,   -28.66,   0.651506,  -148.66,   0.651505,    91.34,          0,     0.00, 2.56659E-012,    53.67,    38.5425,   126.41,    38.5423,     6.41,    38.5421,  -113.59, 0.000605464,   -91.21, 1.12596E-011,    73.58
Transformer.T76,    1.08594,   -28.66,    1.08594,  -148.66,    1.08594,    91.34,          0,     0.00, 4.26913E-012,    53.66,    64.2429,   126.40,    64.2426,     6.40,    64.2423,  -113.60, 0.00101085,   -91.23, 1.87083E-011,    69.36
Transformer.T77,   0.651516,   -28.66,   0.651516,  -148.66,   0.651516,    91.34,          0,     0.00, 2.5687E-012,    53.61,    38.5432,   126.41,     38.543,     6.41,    38.5428,  -113.59, 0.000606527,   -91.22, 1.06847E-011,    69.44
Transformer.T78,    1.81037,   -28.67,    1.81037,  -148.67,    1.81037,    91.33,          0,     0.00, 7.26088E-012,    53.84,    107.101,   126.39,    107.101,     6.39,      107.1,  -113.61, 0.00171845,   -91.34, 2.94885E-011,    72.96
Transformer.T79,    1.08614,   -28.66,    1.08614,  -148.66,    1.08614,    91.34,          0,     0.00, 4.36577E-012,    53.67,     64.256,   126.40,    64.2558,     6.40,    64.2555,  -113.60, 0.00103056,   -91.33, 1.84271E-011,    74.25
Transformer.T80,    1.81044,   -28.67,    1.81044,  -148.67,    1.81044,    91.33,          0,     0.00, 7.29334E-012,    53.68,    107.106,   126.39,    107.105,     6.39,    107.105,  -113.61, 0.00172508,   -91.36, 3.1496E-011,    72.35
Transformer.T81,     1.0862,   -28.66,    1.08621,  -148.66,     1.0862,    91.34,          0,     0.00, 4.38716E-012,    53.76,    64.2606,   126.40,    64.2604,     6.40,      64.26,  -113.60, 0.00103736,   -91.36, 1.89213E-011,    69.61
Transformer.T1000,    1.08612,   -28.66,    1.08612,  -148.66,    1.08612,    91.34,          0,     0.00, 4.3757E-012,    53.65,    64.2551,   126.40,    64.2549,     6.40,    64.2545,  -113.60, 0.00102912,   -91.32, 1.88405E-011,    72.44
Transformer.T10001,    1.08635,   -28.66,    1.08635,  -148.66,    1.08634,    91.34,          0,     0.00, 4.46241E-012,    53.68,    64.2701,   126.40,    64.2698,     6.40,    64.2695,  -113.60, 0.00105154,   -91.42, 1.9304E-011,    74.98
Transformer.T10002,    1.08645,   -28.66,    1.08645,  -148.66,    1.08645,    91.34,          0,     0.00, 4.48228E-012,    53.64,    64.2771,   126.40,    64.2768,     6.40,    64.2764,  -113.60, 0.00106198,   -91.47, 1.96293E-011,    71.77
Transformer.T10003,   0.576224,   -32.94,   0.576224,  -152.94,   0.576223,    87.06,          0,     0.00, 4.51631E-012,    53.51,    32.0166,   126.67,    32.0165,     6.67,    32.0163,  -113.33, 0.00052925,   -90.95, 9.63592E-012,    70.71
Transformer.T10004,   0.576224,   -32.94,   0.576224,  -152.94,   0.576223,    87.06,          0,     0.00, 4.51631E-012,    53.51,    32.0166,   126.67,    32.0165,     6.67,    32.0163,  -113.33, 0.00052925,   -90.95, 9.63592E-012,    70.71
Transformer.T10005,    1.08651,   -28.66,    1.08651,  -148.66,    1.08651,    91.34,          0,     0.00, 4.51495E-012,    53.61,    64.2812,   126.40,    64.2809,     6.40,    64.2806,  -113.60, 0.00106815,   -91.50, 2.07122E-011,    72.76
Transformer.T10006,    1.08652,   -28.66,    1.08652,  -148.66,    1.08652,    91.34,          0,     0.00, 4.51781E-012,    53.63,    64.2816,   126.40,    64.2814,     6.40,     64.281,  -113.60, 0.00106881,   -91.50, 1.95621E-011,    70.30
Transformer.T10009,     1.0865,   -28.66,     1.0865,  -148.66,     1.0865,    91.34,          0,     0.00, 4.52353E-012,    53.69,    64.2808,   126.40,    64.2805,     6.40,    64.2801,  -113.60, 0.00106752,   -91.49, 1.83385E-011,    72.69
Transformer.T100091,    0.67745,   -31.53,   0.677451,  -151.53,    0.67745,    88.47,          0,     0.00, 4.50787E-012,    53.65,    38.4472,   126.62,    38.4471,     6.62,    38.4469,  -113.38, 0.000636711,   -91.05, 1.11065E-011,    67.11
Transformer.T1000912,   0.677453,   -31.53,   0.677453,  -151.53,   0.677452,    88.47,          0,     0.00, 4.53768E-012,    53.60,    38.4474,   126.62,    38.4473,     6.62,    38.4471,  -113.38, 0.000636992,   -91.05, 1.13687E-011,    73.74
Line.LINHA200,    30.0168,   -77.29,    30.0135,   162.71,    30.0163,    42.71,          0,     0.00, 0.00540761,   -30.61,    30.0195,   102.71,    30.0163,   -17.29,     30.019,  -137.29,          0,     0.00, 0.00535816,   149.39
